År;Tettbygde strøk;Spredtbygde strøk
1666;30000;410000
1701;40000;464000
1769;64747;658871
1801;88404;795199
1815;86604;798827
1825;114198;937120
1835;129002;1065825
1845;206338;1122133
1855;252308;1237739
1865;333485;1368271
1875;440273;1366627
1890;625417;1375500
1900;800198;1439834
1910;921382;1470400
1920;1200020;1449755
1930;1330217;1483977
1946;1581901;1575049
1950;1711628;1566918
1960;2052634;1538600
1970;2554913;1319220
1980;2874990;1200190
1990;3056194;1166347
2000;3396382;998922
2011;3899115;1007310
2020;4416981;940251
